Token,Tag
>>i:,Spn
Muy,Spn
buenas,Spn
tardes.,Spn
Estamos,NamedEnt
aquí,Spn
con,Spn
Laura.,NamedEnt
Gracias,Spn
por,Spn
hacer,Spn
esta,Spn
entrevista,,Spn
Laura.,NamedEnt
¿Cuándo,Spn
y,Spn
dónde,Spn
naciste?,Spn
>>s:,Spn
Okay,,Spn
uhm...Nací,Spn
en,Spn
mil,Spn
novecientos,Spn
ochenta,Spn
y,Spn
ocho.,Spn
Este...Nací,Spn
aquí,Spn
en,Spn
El,NamedEnt
Paso,,Spn
Texas,,NamedEnt
en,Spn
octubre,Spn
de,Spn
mil,Spn
novecientos,Spn
ochenta,Spn
y,Spn
ocho.,Spn
>>i:,Spn
¿Dónde,Spn
creciste,Spn
y,Spn
cómo,Spn
era?,Spn
>>s:Okay,,Spn
los,Spn
primeros,,Spn
más,Spn
o,Spn
menos,Spn
once,Eng
años,Spn
de,Spn
mi,Spn
vida,,Spn
crecí,Spn
en,Spn
Ciudad,NamedEnt
Juárez,,NamedEnt
lo,Spn
cual,Spn
queda,Spn
aquí,Spn
en,Spn
frontera,Spn
con,Spn
El,NamedEnt
Paso,,Spn
Texas.,NamedEnt
Y,Spn
después,,Spn
hasta,Spn
ahorita,,Spn
aquí,Spn
en,Spn
El,NamedEnt
Paso,NamedEnt
he,Spn
vivido,Spn
siempre.,Spn
>>i:,Spn
¿Qué,Spn
tipo,Spn
de,Spn
trabajo,Spn
hacen,Spn
tus,Spn
padres,Spn
o,Spn
tus,Spn
abuelos?,Spn
>>s:,Spn
Okay,,Spn
este...mis,Spn
padres,Spn
en,Spn
este,Spn
caso,,Spn
mi,Spn
papá,Spn
trabaja,Spn
en,Spn
construcción,Spn
y,Spn
mi,Spn
mamá,Spn
es,Spn
ama,Spn
de,Spn
casa,,Spn
siempre,Spn
mi,Spn
mamá,Spn
por,Spn
lo,Spn
regular,Eng
siempre,Spn
ha,Spn
sido,Spn
ama,Spn
de,Spn
casa,Spn
después,Spn
de,Spn
que,Spn
se,Spn
casó.,Spn
Y,Spn
mi,Spn
papá,Spn
más,Spn
o,Spn
menos,Spn
siempre,Spn
el,Spn
mismo,Spn
tipo,Spn
de,Spn
trabajo.,Spn
>>i:,Spn
¿Tienes,Spn
alguna,Spn
historia,Spn
favorita,Spn
de,Spn
tu,Spn
infancia?,Spn
>>s:,Spn
Uhm...no,Spn
tanto,Spn
como,Spn
una,Spn
historia,,Spn
en,Spn
realidad,Spn
no,,Spn
soy,Spn
muy,Spn
mala,Spn
para,Spn
recordar,,Spn
en,Spn
especial,Spn
cosas,Spn
muy,Spn
buenas,,Spn
también,Spn
soy,Spn
muy,Spn
mala,Spn
para,Spn
recordar,Spn
eso.,Spn
Pero,NamedEnt
recuerdo,,Spn
por,Spn
ejemplo,,Spn
en,Spn
los,Spn
veranos,Spn
que,Spn
a,Spn
lo,Spn
mejor,Spn
íbamos,Spn
a...de,Spn
visita,Spn
a,Spn
Ciudad,NamedEnt
Juárez,Spn
con,Spn
la,Spn
abuelita,,Spn
y,Spn
me,Spn
gustaba,Spn
mucho,Spn
porque,Spn
eran,Spn
vacaciones,Spn
y,Spn
lo,Spn
disfrutábamos,Spn
más,Spn
el,Spn
verano.,Spn
>>i:,Spn
¿De,Spn
dónde,Spn
viene,Spn
tu,Spn
familia?,Spn
>>s:,Spn
Okay,,Spn
mi,Spn
familia,,Spn
mis,Spn
dos,Spn
papás,Spn
son,Spn
mexicanos,Spn
y,Spn
vienen,Spn
de,Spn
México.,Spn
Mi,Spn
mamá,,Spn
de,Spn
Durango,,NamedEnt
lo,Spn
cual,Spn
queda,Spn
más,Spn
lejos,Spn
de,Spn
aquí,Spn
de,Spn
El,Spn
Paso.,NamedEnt
Y,Spn
mi,Spn
papá.,Spn
Bueno,,Spn
mi,Spn
mamá,Spn
de,Spn
hecho,,Spn
su,Spn
familia,,Spn
ella,Spn
creció,Spn
en,Spn
Ciudad,NamedEnt
Juárez,Spn
desde,Spn
muy,Spn
chica,,Spn
pero,Spn
nació,Spn
en,Spn
Durango,NamedEnt
y,Spn
su,Spn
familia,Spn
es,Spn
de,Spn
Durango.,NamedEnt
Mi,Spn
papá,,Spn
este...de,Spn
una,Spn
parte,Spn
de,Spn
Chihuahua,,NamedEnt
un,Spn
poco,Spn
más,Spn
retirado,Spn
de,Spn
aquí,,Spn
y,Spn
ya,Spn
después,Spn
en,Spn
Ciudad,NamedEnt
Juárez,,NamedEnt
y,Spn
después,Spn
en,Spn
El,Spn
Paso.,NamedEnt
>>i:,Spn
¿Nos,Spn
puedes,Spn
contar,Spn
historias,Spn
sobre,Spn
las,Spn
tradiciones,Spn
culturales,Spn
que,Spn
celebras,Spn
con,,Spn
en,Spn
tu,Spn
familia?,Spn
>>s:,Spn
Okay...uhm...tradiciones,Spn
son,Spn
varias,,Spn
que,Spn
muchas,Spn
veces,Spn
no,Spn
las,Spn
recordamos,Spn
hasta,Spn
cuando,Spn
llega,Spn
la,Spn
fecha,Spn
o,Spn
el,Spn
evento,Spn
en,Spn
que,Spn
serán.,Spn
Este...muchas,Spn
de,Spn
las,Spn
veces,Spn
celebraciones,Spn
que,Spn
acá,Spn
en,Spn
Estados,NamedEnt
Unidos,Spn
no,Spn
son.,Spn
Uhm...por,Spn
ejemplo,,Spn
Navidad,NamedEnt
lo,Spn
celebramos,Spn
pero,Spn
de,Spn
una,Spn
manera,Spn
distinta.,Spn
Celebramos,Spn
también,,Spn
puesto,Spn
por,Spn
la,Spn
tradición,Spn
y,Spn
la,Spn
religión,,Spn
celebramos,Spn
otras,Spn
fechas,Spn
en,Spn
especiales,Spn
que,Spn
están,Spn
muchas,Spn
cerca,Spn
de,Spn
ese,Spn
tiempo,,Spn
uhm...por,Spn
ejemplo,,Spn
día,Spn
del,Spn
padre,,NamedEnt
día,Spn
de,Spn
la,Spn
madre.,Spn
Celebramos...es,Spn
raro,Spn
porque,Spn
celebramos,Spn
como,Spn
que,Spn
doble.,Spn
Celebramos,Spn
la,Spn
fecha,Spn
de,Spn
allá,Spn
de,Spn
México,Spn
y,Spn
también,Spn
celebramos,Spn
la,Spn
fecha,Spn
de,Spn
acá,Spn
de,Spn
Estados,NamedEnt
Unidos.,Spn
Este...tradiciones,,Spn
muchas,Spn
de,Spn
esas,Spn
tienen,Spn
que,Spn
ver,Spn
con,Spn
algo,Spn
simple,,Spn
hasta,Spn
como,Spn
celebrar,Spn
un,Spn
cumpleaños,,Spn
como,Spn
el,Spn
tipo,Spn
de,Spn
comida,,Spn
cosas,Spn
así.,Spn
>>i:,Spn
¿Te,Spn
gusta,Spn
la,Spn
escuela?,Spn
>>s:,Spn
Sí.,Spn
Siempre,Spn
me,Spn
ha,Spn
gustado,,Spn
desde,Spn
chica.,Spn
Y,Spn
es,Spn
curioso,Spn
porque,Spn
por,Spn
lo,Spn
regular,Eng
todos,Spn
van,Spn
a,Spn
la,Spn
escuela,Spn
empezando,Spn
antes,Spn
de,Spn
primero,,Spn
que,Spn
va,Spn
a,Spn
ser,Spn
lo,Spn
que,Spn
es,Spn
kínder,Spn
o,Spn
que,Spn
en,Spn
Estados,NamedEnt
Unidos,Spn
también,Spn
es,Spn
kínder.,Spn
Y,Spn
yo,Spn
no,Spn
tuve,Spn
ese,Spn
principio,,Spn
entré,Spn
ya,Spn
a,Spn
lo,Spn
que,Spn
viene,Spn
siendo,Spn
primer,Spn
grado,Spn
y,Spn
aun,Spn
así,Spn
siempre,Spn
me,Spn
gustó.,Spn
Este...quizás,Spn
de,Spn
muy,Spn
pequeña,Spn
no.,Spn
Ya,Spn
como,Spn
de,Spn
ocho,Spn
años,Spn
me,Spn
gustó,Spn
mucho,Spn
y,Spn
recuerdo,Spn
que,Spn
era,Spn
curioso,,Spn
pero,Spn
los,Spn
veranos,Spn
no,Spn
me,Spn
gustaban,Spn
mucho,Spn
porque,Spn
no,Spn
iba,Spn
a,Spn
la,Spn
escuela,,Spn
me,Spn
divertía,Spn
más,Spn
en,Spn
la,Spn
escuela,Spn
que,Spn
en,Spn
la,Spn
casa.,Spn
Y,Spn
ahorita,Spn
todavía,Spn
me,Spn
gusta,Spn
mucho.,Spn
Este...me,Spn
gusta...me,Spn
gusta,Spn
porque,Spn
aprendes,Spn
mucho.,Spn
Eso,Spn
es,Spn
lo,Spn
que,Spn
más,Spn
me,Spn
gusta,Spn
de,Spn
ir,Spn
a,Spn
la,Spn
escuela,,Spn
y,Spn
conocer,Spn
gente.,Spn
>>i:,Spn
Cuéntame,Spn
de,Spn
tu,Spn
educación,,Spn
¿qué,,Spn
qué,Spn
estás,Spn
haciendo?,Spn
>>s:,Spn
Este...uhm...ahorita,Spn
empecé,Spn
mi,Spn
maestría.,Spn
Este...hace,Spn
más,Spn
o,Spn
menos,Spn
un,Spn
año,Spn
que,Spn
me,Spn
gradué,Spn
con,Spn
un,,Spn
una,Spn
licenciatura,Spn
en,Spn
educación,,Spn
ciencias...enfocada,Spn
en,Spn
ciencias,Spn
y,Spn
matemáticas,,Spn
pero,Spn
ya,Spn
empecé,Spn
mi,Spn
maestría,Spn
porque,Spn
mi,Spn
carrera,Spn
más,Spn
bien,Spn
la,Spn
quiero,Spn
hacer,Spn
en,Spn
el...en,Spn
algo,Spn
cercano,Spn
a,Spn
consejería,,Spn
a,Spn
psicología,,Spn
entonces,Spn
mi,Spn
maestría,Spn
ahorita,Spn
que,Spn
estoy,Spn
tomando,Spn
se,Spn
llama,Spn
cares,Eng
and,Eng
counseling,Eng
y,Spn
es,Spn
como,Spn
para,Spn
si,Spn
quiero,Spn
trabajar,Spn
en,Spn
un,Spn
servicio,Spn
comunitario,Spn
como,Spn
consejera,Spn
o,Spn
si,Spn
quiero,Spn
trabajar,Spn
en,Spn
una,Spn
escuela,Spn
también,Spn
como,Spn
consejera.,Spn
>>i:,Spn
¿Cómo,Spn
te,Spn
recordarían,Spn
tus,Spn
compañeros?,Spn
>>s:,Spn
Mmm...mis,NamedEnt
compañeros,Spn
en,Spn
general,Spn
de,Spn
escuela,Spn
o,Spn
trabajo,Spn
probablemente,Spn
como,Spn
alguien,Spn
callada,,Spn
la,Spn
mayoría,Spn
del,Spn
tiempo,Spn
reservada,,Spn
este...,Spn
a,Spn
la,Spn
mejor,Spn
amigable,Spn
en,Spn
cierto,Spn
punto,,Spn
callada,,Spn
amigable,,Spn
pero,Spn
que...que,Spn
a,Spn
la,Spn
vez,Spn
cuando,Spn
es,Spn
momento,Spn
de,Spn
como,Spn
